V1	Nodes	Betweenness_value	Degree_value	node_type	node_type_abbrev	WTC_membership
219	CEM1	447.898221863183	9	Non-Hub-Non-Bottleneck	NHNB	13
220	CEX1	105.034117760998	6	Non-Hub-Non-Bottleneck	NHNB	3
221	CHA1	1182.14331370094	24	Non-Hub-Non-Bottleneck	NHNB	2
222	CHC1	4385.76282535018	38	Hub-Bottleneck	HB	6
223	CHD1	815.687221977451	34	Hub-Non-Bottleneck	HNB	14
224	CHK1	1192.12160867685	24	Non-Hub-Non-Bottleneck	NHNB	14
225	CHL4	1111.59594280482	25	Non-Hub-Non-Bottleneck	NHNB	7
226	CHO1	3353.28183526154	28	Hub-Bottleneck	HB	4
227	CHO2	533.69319480975	14	Non-Hub-Non-Bottleneck	NHNB	1
228	CHS3	2502.29339638496	24	Non-Hub-Bottleneck	NHB	4
229	CHS5	321.921511699364	9	Non-Hub-Non-Bottleneck	NHNB	4
230	CIC1	518.204950031613	58	Hub-Non-Bottleneck	HNB	11
231	CIN8	5013.18235605908	54	Hub-Bottleneck	HB	7
232	CIR1	238.772211139949	7	Non-Hub-Non-Bottleneck	NHNB	4
233	CIT1	6674.88288508842	65	Hub-Bottleneck	HB	3
234	CIT2	1882.94441565067	33	Hub-Bottleneck	HB	9
235	CKA2	5781.63748709363	63	Hub-Bottleneck	HB	11
236	CKB1	1505.79542734712	45	Hub-Non-Bottleneck	HNB	11
237	CKB2	1887.27608440969	50	Hub-Bottleneck	HB	11
238	CKI1	1284.43623591418	13	Non-Hub-Non-Bottleneck	NHNB	1
239	CKS1	2828.84793343352	59	Hub-Bottleneck	HB	4
240	CLA4	2629.68338850542	38	Hub-Bottleneck	HB	4
241	CLB1	5201.47147158359	79	Hub-Bottleneck	HB	4
242	CLB2	6410.017124612	95	Hub-Bottleneck	HB	4
243	CLB3	2774.91316487042	68	Hub-Bottleneck	HB	4
244	CLG1	834.746798865913	19	Non-Hub-Non-Bottleneck	NHNB	12
245	CLN2	3893.31926775062	56	Hub-Bottleneck	HB	4
246	CLP1	352.382440612483	21	Non-Hub-Non-Bottleneck	NHNB	2
247	CMD1	4148.05490875022	39	Hub-Bottleneck	HB	4
248	CNA1	1758.7302276457	31	Hub-Bottleneck	HB	4
249	CNB1	1810.07970644667	33	Hub-Bottleneck	HB	4
250	CNS1	337.926294085233	13	Non-Hub-Non-Bottleneck	NHNB	4
251	COA3	888.00189185556	7	Non-Hub-Non-Bottleneck	NHNB	23
252	COB	2588.17170836544	37	Hub-Bottleneck	HB	23
253	COG2	625.70007473968	13	Non-Hub-Non-Bottleneck	NHNB	5
254	COG3	265.047125561247	9	Non-Hub-Non-Bottleneck	NHNB	5
255	COG4	264.806786587595	9	Non-Hub-Non-Bottleneck	NHNB	5
256	COG6	260.926999264992	7	Non-Hub-Non-Bottleneck	NHNB	5
