rownames(topologies_lipid_stress_data_cluster_color)	Nodes	Betweenness_value	Degree_value	node_type	node_type_abbrev	WTC_membership	Cluster_number	Color
167	CAD1	166.853656695142	6	Non-Hub-Non-Bottleneck	NHNB	4	Cluster 4	#8C703A
168	CAF16	186.268796736381	8	Non-Hub-Non-Bottleneck	NHNB	4	Cluster 4	#8C703A
169	CAF4	899.303532939415	15	Non-Hub-Non-Bottleneck	NHNB	4	Cluster 4	#8C703A
170	CAJ1	35.7874383942169	2	Non-Hub-Non-Bottleneck	NHNB	4	Cluster 4	#8C703A
171	CAK1	675.160234157092	19	Non-Hub-Non-Bottleneck	NHNB	4	Cluster 4	#8C703A
172	CAR1	679.482928980075	15	Non-Hub-Non-Bottleneck	NHNB	2	Cluster 2	#736957
173	CAT2	821.010378906382	22	Non-Hub-Non-Bottleneck	NHNB	2	Cluster 2	#736957
174	CBC2	15598.3028041081	121	Hub-Bottleneck	HB	8	Cluster 8	#C08B12
175	CBF1	1110.23410572234	21	Non-Hub-Non-Bottleneck	NHNB	4	Cluster 4	#8C703A
176	CBF2	2176.33347555094	40	Hub-Bottleneck	HB	7	Cluster 7	#B38118
177	CBF5	3115.27582285117	64	Hub-Bottleneck	HB	11	Cluster 11	#E6AB02
178	CBT1	21.2060280525597	3	Non-Hub-Non-Bottleneck	NHNB	17	Cluster 17	#808D34
179	CCC1	642.811433307388	11	Non-Hub-Non-Bottleneck	NHNB	2	Cluster 2	#736957
180	CCC2	207.344875477412	7	Non-Hub-Non-Bottleneck	NHNB	4	Cluster 4	#8C703A
181	CCL1	881.130513794486	55	Hub-Non-Bottleneck	HNB	14	Cluster 14	#99A813
182	CCP1	728.739485374411	10	Non-Hub-Non-Bottleneck	NHNB	4	Cluster 4	#8C703A
183	CCR4	1660.25832743259	29	Hub-Bottleneck	HB	4	Cluster 4	#8C703A
184	CCS1	724.47807637743	18	Non-Hub-Non-Bottleneck	NHNB	3	Cluster 3	#806C49
185	CCT4	880.692039460172	19	Non-Hub-Non-Bottleneck	NHNB	4	Cluster 4	#8C703A
186	CCT5	1416.5080743562	18	Non-Hub-Non-Bottleneck	NHNB	4	Cluster 4	#8C703A
187	CCT6	751.331082257838	15	Non-Hub-Non-Bottleneck	NHNB	4	Cluster 4	#8C703A
188	CCT8	1250.61460380307	22	Non-Hub-Non-Bottleneck	NHNB	4	Cluster 4	#8C703A
189	CCW14	17.77135906271	2	Non-Hub-Non-Bottleneck	NHNB	6	Cluster 6	#A6761D
190	CCZ1	1810.99999145637	34	Hub-Bottleneck	HB	12	Cluster 12	#CCAA08
191	CDC10	805.096862403241	18	Non-Hub-Non-Bottleneck	NHNB	4	Cluster 4	#8C703A
192	CDC11	501.874376078973	15	Non-Hub-Non-Bottleneck	NHNB	4	Cluster 4	#8C703A
193	CDC12	870.392066250254	21	Non-Hub-Non-Bottleneck	NHNB	4	Cluster 4	#8C703A
194	CDC13	3277.89334925262	42	Hub-Bottleneck	HB	14	Cluster 14	#99A813
195	CDC14	4721.06139093474	57	Hub-Bottleneck	HB	4	Cluster 4	#8C703A
196	CDC15	1171.19747956792	24	Non-Hub-Non-Bottleneck	NHNB	4	Cluster 4	#8C703A
197	CDC16	1006.68424278977	24	Non-Hub-Non-Bottleneck	NHNB	4	Cluster 4	#8C703A
198	CDC19	5631.09410673963	47	Hub-Bottleneck	HB	14	Cluster 14	#99A813
199	CDC21	290.157251756636	11	Non-Hub-Non-Bottleneck	NHNB	2	Cluster 2	#736957
200	CDC23	2390.11473257071	29	Hub-Bottleneck	HB	4	Cluster 4	#8C703A
201	CDC24	902.98612131955	19	Non-Hub-Non-Bottleneck	NHNB	4	Cluster 4	#8C703A
202	CDC25	2088.45020291256	35	Hub-Bottleneck	HB	4	Cluster 4	#8C703A
203	CDC28	20608.331103647	133	Hub-Bottleneck	HB	4	Cluster 4	#8C703A
204	CDC33	2587.97851601353	50	Hub-Bottleneck	HB	8	Cluster 8	#C08B12
205	CDC34	2254.35475053603	35	Hub-Bottleneck	HB	4	Cluster 4	#8C703A
206	CDC39	1921.40499780849	20	Non-Hub-Bottleneck	NHB	4	Cluster 4	#8C703A
207	CDC4	713.843301583308	28	Hub-Non-Bottleneck	HNB	4	Cluster 4	#8C703A
208	CDC42	3270.0813525315	50	Hub-Bottleneck	HB	4	Cluster 4	#8C703A
209	CDC48	16035.6882649037	75	Hub-Bottleneck	HB	4	Cluster 4	#8C703A
210	CDC5	4973.4236251949	58	Hub-Bottleneck	HB	4	Cluster 4	#8C703A
211	CDC53	4239.44499158773	98	Hub-Bottleneck	HB	4	Cluster 4	#8C703A
212	CDC55	4349.25613094827	53	Hub-Bottleneck	HB	4	Cluster 4	#8C703A
213	CDC6	3943.25495429508	75	Hub-Bottleneck	HB	4	Cluster 4	#8C703A
214	CDC60	354.011315334056	15	Non-Hub-Non-Bottleneck	NHNB	2	Cluster 2	#736957
215	CDD1	282.764045512682	8	Non-Hub-Non-Bottleneck	NHNB	2	Cluster 2	#736957
216	CDS1	381.424697610738	12	Non-Hub-Non-Bottleneck	NHNB	1	Cluster 1	#666666
217	CEF1	62470.7057472452	175	Hub-Bottleneck	HB	4	Cluster 4	#8C703A
218	CEG1	612.683150327041	29	Hub-Non-Bottleneck	HNB	14	Cluster 14	#99A813
219	CEM1	447.898221863183	9	Non-Hub-Non-Bottleneck	NHNB	13	Cluster 13	#B3A90D
220	CEX1	105.034117760998	6	Non-Hub-Non-Bottleneck	NHNB	3	Cluster 3	#806C49
221	CHA1	1182.14331370094	24	Non-Hub-Non-Bottleneck	NHNB	2	Cluster 2	#736957
222	CHC1	4385.76282535018	38	Hub-Bottleneck	HB	6	Cluster 6	#A6761D
223	CHD1	815.687221977451	34	Hub-Non-Bottleneck	HNB	14	Cluster 14	#99A813
224	CHK1	1192.12160867685	24	Non-Hub-Non-Bottleneck	NHNB	14	Cluster 14	#99A813
225	CHL4	1111.59594280482	25	Non-Hub-Non-Bottleneck	NHNB	7	Cluster 7	#B38118
226	CHO1	3353.28183526154	28	Hub-Bottleneck	HB	4	Cluster 4	#8C703A
227	CHO2	533.69319480975	14	Non-Hub-Non-Bottleneck	NHNB	1	Cluster 1	#666666
228	CHS3	2502.29339638496	24	Non-Hub-Bottleneck	NHB	4	Cluster 4	#8C703A
229	CHS5	321.921511699364	9	Non-Hub-Non-Bottleneck	NHNB	4	Cluster 4	#8C703A
230	CIC1	518.204950031613	58	Hub-Non-Bottleneck	HNB	11	Cluster 11	#E6AB02
231	CIN8	5013.18235605908	54	Hub-Bottleneck	HB	7	Cluster 7	#B38118
232	CIR1	238.772211139949	7	Non-Hub-Non-Bottleneck	NHNB	4	Cluster 4	#8C703A
233	CIT1	6674.88288508842	65	Hub-Bottleneck	HB	3	Cluster 3	#806C49
234	CIT2	1882.94441565067	33	Hub-Bottleneck	HB	9	Cluster 9	#CC960D
235	CKA2	5781.63748709363	63	Hub-Bottleneck	HB	11	Cluster 11	#E6AB02
236	CKB1	1505.79542734712	45	Hub-Non-Bottleneck	HNB	11	Cluster 11	#E6AB02
237	CKB2	1887.27608440969	50	Hub-Bottleneck	HB	11	Cluster 11	#E6AB02
238	CKI1	1284.43623591418	13	Non-Hub-Non-Bottleneck	NHNB	1	Cluster 1	#666666
239	CKS1	2828.84793343352	59	Hub-Bottleneck	HB	4	Cluster 4	#8C703A
240	CLA4	2629.68338850542	38	Hub-Bottleneck	HB	4	Cluster 4	#8C703A
