!Series_title	"Carbohydrate metabolism and the lager yeast transcriptome during brewery fermentation"
!Series_geo_accession	"GSE10205"
!Series_sample_id	"GSM257776 GSM257777 GSM257778 GSM257779 GSM257780 GSM257781 GSM257782 GSM257783 GSM257784 GSM257785 GSM257786 GSM257787 GSM257788 GSM257789 "
!Series_platform_id	"GPL2529"
!Series_platform_taxid	"4896"
!Series_platform_taxid	"4932"
!Series_sample_taxid	"4932"
!Sample_title	"Ferm_8h_A"	"Ferm_8h_B"	"Ferm_8h_C"	"Ferm_30h_A"	"Ferm_30h_C"	"Ferm_60h_A"	"Ferm_60h_B"	"Ferm_60h_C"	"Ferm_80h_A"	"Ferm_80h_B"	"Ferm_80h_C"	"Ferm_102h_A"	"Ferm_102h_B"	"Ferm_102h_C"
!Sample_geo_accession	"GSM257776"	"GSM257777"	"GSM257778"	"GSM257779"	"GSM257780"	"GSM257781"	"GSM257782"	"GSM257783"	"GSM257784"	"GSM257785"	"GSM257786"	"GSM257787"	"GSM257788"	"GSM257789"
!Sample_type	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"
!Sample_channel_count	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"
!Sample_description "Ferm_8h_A"	"Ferm_8h_B"	"Ferm_8h_C"	"Ferm_30h_A"	"Ferm_30h_C"	"Ferm_60h_A"	"Ferm_60h_B"	"Ferm_60h_C"	"Ferm_80h_A"	"Ferm_80h_B"	"Ferm_80h_C"	"Ferm_102h_A"	"Ferm_102h_B"	"Ferm_102h_C"	
!Sample_platform_id	"GPL2529"	"GPL2529"	"GPL2529"	"GPL2529"	"GPL2529"	"GPL2529"	"GPL2529"	"GPL2529"	"GPL2529"	"GPL2529"	"GPL2529"	"GPL2529"	"GPL2529"	"GPL2529"
!Sample_data_row_count	"10928"	"10928"	"10928"	"10928"	"10928"	"10928"	"10928"	"10928"	"10928"	"10928"	"10928"	"10928"	"10928"	"10928"
!series_matrix_table_begin
"ID_REF"	"GSM257776"	"GSM257777"	"GSM257778"	"GSM257779"	"GSM257780"	"GSM257781"	"GSM257782"	"GSM257783"	"GSM257784"	"GSM257785"	"GSM257786"	"GSM257787"	"GSM257788"	"GSM257789"
"1769338_at"	43.4106753	89.58100188	91.97782176	101.9670954	73.1848037	26.38939067	50.33467841	161.4878178	470.8296285	351.5780679	296.9643138	259.0488667	251.6893888	139.5764976
"1769339_at"	551.2019171	476.5371418	576.9070747	496.8227905	533.3497628	478.2153194	402.6111126	410.8810132	453.0410812	470.8680628	502.7927307	451.8944264	453.2185423	439.4464723
"1769340_at"	7.896075264	5.650776904	3.604631446	2.914129959	1.312376007	0.868164258	2.436995943	1.365176999	1.206130022	2.913418066	0.397731511	14.86227662	18.04897165	12.43072367
"1769341_at"	657.0075641	605.2083071	641.9645583	321.2182979	446.1882901	612.8539293	477.2218583	312.320302	348.5805918	543.0328839	483.6146741	348.0117206	315.650856	301.0135037
"1769342_at"	1021.846094	1636.039732	1671.336884	1693.635712	1280.336556	1150.204303	2398.577246	2673.149962	1317.764706	1490.172183	1850.358632	1300.768456	1134.415953	1110.306066
"1769343_at"	2.442459063	1.289159074	4.244507722	0.958508397	1.094323911	2.735042411	1.488269482	1.224895065	1.863528989	0.479621689	0.899258323	3.758267478	2.921985129	14.09922916
"1769344_at"	969.6987693	757.9332735	797.3552296	1086.634606	1044.079405	2345.026888	1770.100872	1229.130658	1972.264405	2215.023367	2139.624955	1665.749046	1839.119848	1639.493824
"1769345_at"	382.8415712	395.2662969	381.801842	252.8133959	264.2753868	294.6728427	330.2651929	301.8516128	237.5448264	282.5641906	316.9666846	205.7912589	250.2883789	230.5167188
"1769346_at"	205.5698268	276.1418249	256.0747403	167.1107579	206.1276053	95.37955982	179.1930999	158.1061373	123.6240778	170.379674	134.6584789	164.1734389	174.3107333	169.5694167
"1769347_at"	1.534429406	10.13824177	4.721519312	0.792997338	1.842364777	7.393420544	10.60795793	1.133621838	10.85390406	0.309994871	3.429703259	1.806289633	15.10993475	0.52899477
"1769348_at"	14.58352959	3.718228991	11.04320224	14.33491253	11.28880161	6.769854924	1.348582778	11.31772442	10.77554566	6.321814649	0.452660954	10.63122933	25.74424283	22.24980089
"1769349_s_at"	281.1966893	345.5497176	349.7882954	264.9773185	242.8584758	151.3433587	109.6434605	175.862363	341.5250272	280.0152837	236.151093	232.6783235	206.1449831	160.7799126
"1769350_at"	166.8606379	169.0293061	183.6878625	125.7151575	120.2207889	183.240053	131.480121	155.6877291	140.7572452	175.8164434	197.0561222	115.7438934	97.85750922	97.99577991
"1769351_at"	10.49322217	12.55348695	11.60640406	15.12184679	14.99068825	1.16454556	7.278012371	10.11335809	13.1345273	10.16153979	16.54905797	14.02745456	29.65055025	23.79973864
"1769352_at"	196.5387683	188.6993218	201.0936668	97.73405507	107.5000928	169.1370939	200.598336	193.4331593	213.5538857	193.3021548	171.4923194	212.0961325	179.819997	195.0470823
"1769353_at"	0.612879396	0.844219555	1.357496745	7.201828337	2.078803756	0.442387506	1.054495935	1.178447125	1.687117011	3.663323974	0.704690084	12.38922442	1.774175047	5.822090778
"1769354_at"	0.943897569	2.600687768	2.149413687	0.761407008	2.208262259	2.788074019	0.578102077	0.676791253	0.971132214	0.64448135	4.248159966	2.357179503	2.085276613	0.897834655
"1769355_at"	11.19366713	11.41999404	13.59901052	12.37718765	7.231610778	1.148079789	4.404417553	7.969302905	1.313011297	1.488454474	2.863114226	0.985790589	9.438237956	0.723906826
"1769356_at"	1576.505922	1537.835479	1574.61145	2041.092894	1829.681494	2064.551304	1635.150385	1254.766268	2044.142314	2536.282291	2463.996203	1434.093752	1429.919981	1474.050265
"1769357_at"	0.81659573	10.55995041	1.203812903	1.28792174	0.881909945	1.838252053	2.649934414	8.914556008	11.3271448	8.709132224	2.205250434	7.230841112	7.675996242	2.074941578
"1769358_at"	72.92166018	261.1744572	366.9426041	214.7675488	194.4766226	61.99927371	174.2799184	306.2407862	304.007842	468.3503402	246.8022429	334.65833	206.3568773	197.9441872
"1769359_at"	71.7604537	251.6807816	244.3680177	209.3491888	253.5417609	28.11820165	137.3535479	216.5398622	303.8072351	311.9251961	250.1457556	289.6251867	296.0280449	257.5656253
"1769360_at"	1.9946982	1.492310736	0.614197098	0.565975666	7.10798421	5.450808132	0.288646334	1.187608203	1.490615325	0.432189478	0.78696765	7.577616631	4.790550876	0.720091444
"1769361_at"	236.3208571	253.8278787	251.8279094	211.9149655	230.9386901	195.6248466	202.7920672	228.8722841	182.6250634	221.1499999	217.3494682	219.1116782	205.2201252	185.0214353
"1769362_at"	1012.356448	1083.506108	1260.145309	1012.172023	1070.118296	2110.681263	1928.650081	1794.519155	2435.075944	2480.084602	2127.751164	1661.713138	1531.998805	1464.074833
"1769363_at"	0.925634701	8.69851737	8.278372488	14.34697972	3.825520091	3.908286508	12.31457831	5.815110278	14.39779099	11.95954622	2.658441126	6.60126765	7.942704503	11.93410837
"1769364_at"	11.99341857	2.013077231	10.93464579	13.77335555	3.303803437	7.857038408	0.419454424	1.361474878	16.08868533	0.806226748	1.41660695	2.740621348	14.9973937	7.819231232
"1769365_at"	4087.534887	4507.746699	4367.509978	6050.458605	5484.688385	6336.642096	5708.20512	6510.687819	5585.78364	5739.748515	5794.369443	4893.69102	4964.415661	4914.192952
"1769366_at"	44.5956728	32.75160342	51.42356045	30.22440733	38.68592325	41.50776068	41.82342151	49.32469953	86.08532329	95.411995	90.92391845	54.81821223	58.57625055	88.74938849
"1769367_at"	3.878741421	0.833466928	0.767176306	9.397756519	1.166492507	3.723168785	0.546654243	5.600353738	0.492403913	1.245430295	0.944674101	3.762069283	19.297213	4.504300714
"1769368_at"	466.7928582	506.6874052	511.8938302	362.3831443	378.9263599	415.608875	433.6334161	486.7519136	428.3679683	486.4417226	513.7277767	462.8275338	428.7892079	425.6688664
"1769369_at"	9.108119136	5.372371376	3.280187439	0.764297945	2.426425279	1.863397554	2.346668952	2.138010158	4.245283468	1.624244889	0.608776655	8.081259385	2.425511958	11.21879606
"1769370_at"	1.800727042	1.399950714	10.89605532	11.25801243	5.318401983	1.663144725	5.556830573	2.110371998	15.41282947	5.025087318	15.43629736	5.424562696	0.948433778	1.809570151
"1769371_at"	1204.09573	1335.893241	1261.0186	1096.029585	1253.587356	708.5839091	691.8359553	759.0560361	932.7018904	1274.582667	1219.687275	870.9749393	821.1413582	939.7459785
