Gene	Feature	Mean_FC_12_6	SD_12_6	Mean_FC_20_6	SD_20_6	anova_f_value	p_value_12_6	q_value_12_6	p_value_20_6	q_value_20_6
YDR372C	VPS74	1.28	0.09	1.29	0.12	0.0006	0.0015	0.0007	0.0036	0.0013
YDR373W	FRQ1	1.10	0.92	0.98	0.36	0.7775	0.7333	0.1238	0.6948	0.1183
YDR376W	ARH1	1.00	0.18	1.28	0.29	0.0581	0.8711	0.1433	0.0904	0.0198
YDR377W	ATP17	1.41	0.18	4.28	0.49	0.0000	0.0038	0.0014	0.0000	0.0000
YDR378C	LSM6	1.01	0.10	1.16	0.10	0.0024	0.9440	0.1533	0.0173	0.0048
YDR379C-A	YDR379C-A	3.55	0.98	6.02	2.08	0.0006	0.0006	0.0003	0.0005	0.0003
YDR379W	RGA2	0.75	0.30	0.73	0.32	0.1419	0.1020	0.0220	0.1106	0.0236
YDR380W	ARO10	2.87	0.38	4.13	0.41	0.0000	0.0001	0.0001	0.0000	0.0000
YDR381C-A	YDR381C-A	2.54	0.23	4.06	0.87	0.0000	0.0000	0.0000	0.0001	0.0001
YDR381W	YRA1	0.86	0.09	0.75	0.07	0.0033	0.0254	0.0066	0.0019	0.0008
YDR382W	RPP2B	0.79	0.02	0.66	0.06	0.0000	0.0000	0.0001	0.0004	0.0003
YDR383C	NKP1	1.38	0.42	2.27	0.70	0.0001	0.0807	0.0179	0.0033	0.0012
YDR384C	ATO3	0.19	0.02	0.65	0.10	0.0000	0.0000	0.0000	0.0025	0.0010
YDR385W	EFT2	0.91	0.08	0.76	0.07	0.0027	0.0717	0.0162	0.0018	0.0008
YDR388W	RVS167	1.46	0.10	1.46	0.16	0.0005	0.0003	0.0002	0.0012	0.0006
YDR389W	SAC7	0.77	0.04	1.03	0.07	0.0004	0.0002	0.0002	0.4066	0.0741
YDR390C	UBA2	1.01	0.10	1.10	0.07	0.0397	0.8331	0.1380	0.0308	0.0078
YDR391C	YDR391C	6.23	0.94	4.94	0.94	0.0000	0.0000	0.0000	0.0000	0.0001
YDR392W	SPT3	0.73	0.12	0.73	0.15	0.0123	0.0124	0.0037	0.0220	0.0059
YDR393W	SHE9	1.23	0.19	2.23	0.44	0.0011	0.0403	0.0098	0.0006	0.0003
YDR394W	RPT3	0.96	0.06	0.99	0.03	0.3018	0.1978	0.0393	0.6681	0.1142
YDR395W	SXM1	0.79	0.04	0.74	0.06	0.0012	0.0007	0.0004	0.0009	0.0004
YDR397C	NCB2	0.65	0.18	1.03	0.24	0.0028	0.0203	0.0055	0.9105	0.1488
YDR398W	UTP5	0.57	0.08	0.58	0.08	0.0009	0.0011	0.0005	0.0009	0.0005
YDR399W	HPT1	0.82	0.04	0.73	0.02	0.0000	0.0009	0.0005	0.0000	0.0000
YDR400W	URH1	0.89	0.12	0.83	0.09	0.0276	0.1092	0.0233	0.0160	0.0045
YDR404C	RPB7	0.86	0.05	0.96	0.05	0.0028	0.0042	0.0015	0.1758	0.0354
YDR405W	MRP20	1.45	0.07	2.48	0.06	0.0000	0.0001	0.0001	0.0000	0.0000
YDR406W	PDR15	3.15	1.23	7.67	3.55	0.0013	0.0045	0.0016	0.0008	0.0004
YDR407C	TRS120	0.86	0.10	0.90	0.15	0.0555	0.0493	0.0117	0.2305	0.0449
YDR408C	ADE8	1.67	0.23	1.48	0.06	0.0000	0.0011	0.0005	0.0000	0.0000
YDR409W	SIZ1	0.84	0.33	1.64	0.550		0.4624	0.0828	0.1751	0.0353
YDR410C	STE14	0.79	0.27	0.30	0.09	0.0004	0.1132	0.0240	0.0006	0.0003
YDR411C	DFM1	0.78	0.07	0.84	0.12	0.0050	0.0041	0.0014	0.0510	0.0120
YDR412W	RRP17	0.56	0.03	0.55	0.06	0.0000	0.0000	0.0000	0.0002	0.0002
YDR415C	YDR415C	1.97	1.73	2.14	1.74	0.3863	0.4253	0.0770	0.2883	0.0547
YDR416W	SYF1	0.63	0.12	0.67	0.11	0.0044	0.0036	0.0013	0.0053	0.0018
YDR418W	RPL12B	0.69	0.04	0.58	0.03	0.0000	0.0001	0.0001	0.0000	0.0000
YDR422C	SIP1	0.66	0.07	0.79	0.19	0.0013	0.0008	0.0004	0.0853	0.0188
YDR424C	DYN2	1.05	0.18	1.31	0.20	0.0173	0.6057	0.1049	0.0191	0.0052
YDR427W	RPN9	1.05	0.10	1.12	0.08	0.0429	0.3640	0.0672	0.0263	0.0068
YDR428C	BNA7	0.70	0.05	0.77	0.08	0.0002	0.0003	0.0002	0.0041	0.0015
YDR429C	TIF35	0.72	0.05	0.68	0.12	0.0006	0.0004	0.0003	0.0065	0.0021
YDR430C	CYM1	1.29	0.05	1.42	0.11	0.0003	0.0002	0.0001	0.0005	0.0003
YDR432W	NPL3	1.01	0.10	0.96	0.09	0.4105	0.8885	0.1457	0.2792	0.0532
YDR434W	GPI17	0.91	0.04	0.89	0.07	0.0075	0.0082	0.0026	0.0219	0.0059
YDR435C	PPM1	1.52	0.25	1.82	0.21	0.0000	0.0067	0.0022	0.0005	0.0003
YDR436W	PPZ2	1.13	0.28	0.84	0.12	0.0186	0.4109	0.0748	0.0573	0.0133
YDR439W	LRS4	0.88	0.17	0.99	0.18	0.0560	0.1664	0.0337	0.7862	0.1315
YDR441C	APT2	0.80	0.27	1.00	0.03	0.1247	0.1145	0.0243	0.7801	0.1306
YDR444W	YDR444W	0.83	0.88	1.31	0.57	0.1323	0.2827	0.0538	0.4193	0.0761
YDR447C	RPS17B	0.69	0.04	0.57	0.04	0.0001	0.0001	0.0001	0.0001	0.0001
YDR448W	ADA2	0.83	0.09	1.02	0.07	0.0187	0.0133	0.0039	0.6750	0.1152
YDR449C	UTP6	0.43	0.02	0.36	0.03	0.0000	0.0000	0.0000	0.0000	0.0000
YDR450W	RPS18A	0.73	0.05	0.53	0.05	0.0000	0.0004	0.0003	0.0001	0.0001
YDR452W	PPN1	1.52	0.20	1.61	0.09	0.0000	0.0017	0.0007	0.0000	0.0001
YDR453C	TSA2	2.77	0.57	5.24	0.59	0.0000	0.0003	0.0002	0.0000	0.0000
YDR454C	GUK1	0.85	0.04	0.83	0.07	0.0014	0.0015	0.0007	0.0062	0.0021
YDR457W	TOM1	0.79	0.02	0.75	0.02	0.0000	0.0001	0.0001	0.0000	0.0001
YDR458C	HEH2	0.88	0.03	0.97	0.15	0.0009	0.0007	0.0004	0.6355	0.1093
YDR459C	PFA5	0.42	0.20	0.14	0.0347	0.0087
YDR460W	TFB3	0.92	0.09	0.92	0.11	0.1786	0.1077	0.0230	0.1525	0.0313
YDR462W	MRPL28	1.52	0.09	2.22	0.17	0.0000	0.0001	0.0001	0.0000	0.0000
YDR464W	SPP41	0.49	0.12	1.06	0.22	0.0001	0.0039	0.0014	0.7038	0.1196
YDR465C	RMT2	0.18	0.02	0.15	0.02	0.0000	0.0000	0.0000	0.0000	0.0000
YDR468C	TLG1	0.87	0.07	0.95	0.14	0.0047	0.0220	0.0059	0.4044	0.0738
YDR469W	SDC1	0.66	0.08	0.69	0.09	0.0024	0.0015	0.0007	0.0038	0.0014
YDR470C	UGO1	3.20	0.85	5.31	1.55	0.0002	0.0006	0.0003	0.0003	0.0002
YDR471W	RPL27B	0.66	0.07	0.53	0.03	0.0000	0.0009	0.0004	0.0000	0.0000
YDR472W	TRS31	0.77	0.20	0.66	0.04	0.0001	0.0789	0.0176	0.0001	0.0001
YDR473C	PRP3	0.85	0.06	1.06	0.11	0.0064	0.0047	0.0016	0.3546	0.0657
YDR475C	JIP4	1.16	0.28	1.43	0.21	0.0064	0.3009	0.0569	0.0050	0.0017
YDR476C	YDR476C	1.12	0.08	1.24	0.10	0.0068	0.0246	0.0064	0.0050	0.0017
YDR477W	SNF1	1.24	0.15	1.45	0.09	0.0003	0.0175	0.0048	0.0002	0.0002
YDR480W	DIG2	1.39	0.18	1.89	0.17	0.0002	0.0052	0.0018	0.0001	0.0001
YDR481C	PHO8	1.06	0.10	1.06	0.11	0.4125	0.2981	0.0564	0.3183	0.0598
YDR483W	KRE2	0.95	0.05	0.86	0.08	0.0104	0.0673	0.0153	0.0173	0.0048
YDR484W	VPS52	0.85	0.04	1.04	0.13	0.0000	0.0010	0.0005	0.5821	0.1014
YDR485C	VPS72	0.87	0.18	0.84	0.31	0.3319	0.2035	0.0403	0.3111	0.0586
YDR486C	VPS60	1.45	0.37	2.00	0.32	0.0001	0.0274	0.0071	0.0006	0.0003
YDR487C	RIB3	1.12	0.07	1.28	0.06	0.0005	0.0144	0.0041	0.0003	0.0002
YDR490C	PKH1	1.56	0.21	1.49	0.13	0.0004	0.0025	0.0010	0.0005	0.0003
YDR493W	MZM1	1.77	0.24	2.74	0.28	0.0000	0.0007	0.0004	0.0000	0.0000
YDR494W	RSM28	1.10	0.16	2.01	0.30	0.0000	0.2760	0.0527	0.0006	0.0003
YDR496C	PUF6	0.48	0.08	0.45	0.04	0.0000	0.0005	0.0003	0.0000	0.0000
YDR497C	ITR1	0.27	0.04	0.34	0.03	0.0000	0.0000	0.0001	0.0000	0.0000
YDR498C	SEC20	1.00	0.05	1.34	0.11	0.0004	0.9068	0.1483	0.0013	0.0006
YDR500C	RPL37B	0.51	0.19	0.35	0.06	0.0002	0.0087	0.0027	0.0002	0.0001
YDR502C	SAM2	0.88	0.06	0.72	0.06	0.0000	0.0125	0.0037	0.0011	0.0005
YDR503C	LPP1	1.38	0.19	1.35	0.21	0.0066	0.0067	0.0022	0.0132	0.0038
YDR505C	PSP1	1.49	0.21	2.08	0.24	0.0002	0.0046	0.0016	0.0001	0.0001
YDR507C	GIN4	0.58	0.05	0.54	0.04	0.0000	0.0002	0.0001	0.0001	0.0001
YDR508C	GNP1	0.18	0.04	0.13	0.02	0.0000	0.0001	0.0001	0.0000	0.0000
YDR510W	SMT3	1.08	0.17	1.12	0.15	0.2305	0.4372	0.0789	0.1510	0.0310
YDR511W	ACN9	2.53	0.51	4.43	1.06	0.0002	0.0007	0.0004	0.0002	0.0001
YDR512C	EMI1	0.72	0.08	1.39	0.29	0.0019	0.0026	0.0010	0.0273	0.0070
YDR513W	GRX2	1.83	0.23	3.17	0.26	0.0000	0.0004	0.0003	0.0000	0.0000
YDR514C	YDR514C	0.17	0.07	0.14	0.09	0.0002	0.0006	0.0003	0.0037	0.0013
YDR515W	SLF1	0.85	0.12	0.92	0.13	0.0174	0.0429	0.0104	0.2371	0.0461
YDR516C	EMI2	3.01	0.25	3.13	0.41	0.0000	0.0000	0.0000	0.0001	0.0001
YDR517W	GRH1	1.27	0.21	1.32	0.19	0.0275	0.0373	0.0092	0.0163	0.0046
YDR518W	EUG1	1.33	0.06	1.21	0.07	0.0003	0.0002	0.0002	0.0020	0.0008
YDR519W	FPR2	1.21	0.07	1.53	0.09	0.0001	0.0017	0.0007	0.0001	0.0001
YDR527W	RBA50	0.54	0.06	0.74	0.05	0.0003	0.0002	0.0001	0.0004	0.0003
YDR529C	QCR7	2.32	0.17	6.73	0.81	0.0000	0.0000	0.0000	0.0000	0.0000
YDR530C	APA2	2.65	0.44	3.91	1.22	0.0003	0.0002	0.0002	0.0009	0.0005
YDR531W	CAB1	0.74	0.17	0.77	0.24	0.0679	0.0396	0.0097	0.1021	0.0220
YDR532C	KRE28	0.71	0.14	0.89	0.19	0.0185	0.0155	0.0044	0.2380	0.0462
YDR533C	HSP31	2.62	0.40	3.42	0.27	0.0000	0.0001	0.0001	0.0000	0.0000
YDR536W	STL1	1.11	0.93	30.39	25.79	0.0002	0.5800	0.1010	0.0015	0.0007
YDR539W	FDC1	1.50	0.25	1.80	0.26	0.0018	0.0060	0.0020	0.0011	0.0005
YEL002C	WBP1	0.90	0.05	0.89	0.08	0.0064	0.0098	0.0030	0.0411	0.0100
YEL003W	GIM4	0.96	0.14	0.96	0.15	0.6833	0.4660	0.0834	0.5203	0.0919
YEL007W	YEL007W	1.14	0.11	1.02	0.07	0.0652	0.0427	0.0103	0.5094	0.0902
YEL011W	GLC3	4.87	0.24	9.50	0.76	0.0000	0.0000	0.0000	0.0000	0.0000
YEL012W	UBC8	1.91	0.20	3.66	0.32	0.0000	0.0002	0.0001	0.0000	0.0000
YEL013W	VAC8	1.01	0.08	1.07	0.05	0.0358	0.8118	0.1350	0.0325	0.0082
YEL015W	EDC3	0.87	0.06	1.01	0.07	0.0082	0.0116	0.0034	0.8758	0.1440
YEL017W	GTT3	0.93	0.12	1.16	0.19	0.0335	0.2753	0.0526	0.1446	0.0298
YEL020C	YEL020C	1.95	0.14	3.95	0.68	0.0000	0.0000	0.0000	0.0001	0.0001
YEL020W-A	TIM9	1.45	0.17	2.37	0.17	0.0000	0.0025	0.0010	0.0000	0.0000
YEL022W	GEA2	0.95	0.05	0.97	0.06	0.1095	0.1114	0.0237	0.2913	0.0552
YEL024W	RIP1	2.41	0.17	8.37	0.55	0.0000	0.0000	0.0000	0.0000	0.0000
YEL025C	YEL025C	0.82	0.18	0.91	0.29	0.1777	0.1048	0.0225	0.3859	0.0708
YEL026W	SNU13	0.57	0.08	0.50	0.07	0.0007	0.0009	0.0005	0.0004	0.0003
YEL029C	BUD16	0.93	0.13	0.80	0.10	0.0147	0.2747	0.0525	0.0160	0.0045
YEL030W	ECM10	0.53	0.12	0.66	0.31	0.0000	0.0032	0.0012	0.1473	0.0303
YEL031W	SPF1	0.77	0.05	0.65	0.06	0.0005	0.0006	0.0003	0.0004	0.0003
YEL032W	MCM3	0.76	0.02	0.62	0.03	0.0000	0.0000	0.0000	0.0000	0.0000
YEL034W	HYP2	0.79	0.07	0.90	0.07	0.0062	0.0040	0.0014	0.0281	0.0072
YEL036C	ANP1	0.83	0.19	1.04	0.15	0.0172	0.0796	0.0177	0.6765	0.1154
YEL037C	RAD23	0.88	0.04	0.76	0.08	0.0013	0.0022	0.0009	0.0033	0.0012
YEL038W	UTR4	0.90	0.07	0.76	0.02	0.0000	0.0274	0.0071	0.0000	0.0000
YEL040W	UTR2	0.67	0.06	0.37	0.05	0.0002	0.0007	0.0004	0.0001	0.0001
YEL042W	GDA1	0.64	0.05	0.50	0.04	0.0000	0.0002	0.0001	0.0000	0.0000
YEL043W	YEL043W	0.80	0.05	0.90	0.07	0.0024	0.0016	0.0007	0.0359	0.0089
YEL046C	GLY1	0.22	0.04	0.11	0.00	0.0000	0.0000	0.0000	0.0000	0.0000
YEL047C	YEL047C	1.19	0.07	1.38	0.15	0.0031	0.0023	0.0009	0.0023	0.0009
YEL048C	TCA17	0.59	0.14	0.64	0.11	0.0067	0.0050	0.0017	0.0041	0.0015
YEL050C	RML2	1.46	0.32	2.70	0.39	0.0002	0.0262	0.0068	0.0001	0.0001
YEL051W	VMA8	1.00	0.13	1.00	0.04	0.9881	0.9168	0.1496	0.9431	0.1532
YEL052W	AFG1	1.41	0.12	2.27	0.33	0.0003	0.0008	0.0004	0.0002	0.0002
YEL053C	MAK10	0.85	0.13	1.03	0.29	0.0173	0.0583	0.0135	0.9599	0.1555
YEL055C	POL5	0.59	0.05	0.42	0.03	0.0000	0.0001	0.0001	0.0000	0.0000
YEL056W	HAT2	1.13	0.11	1.27	0.11	0.0031	0.0746	0.0167	0.0033	0.0012
YEL058W	PCM1	1.01	0.11	0.94	0.08	0.1179	0.8589	0.1416	0.1732	0.0350
YEL060C	PRB1	5.32	0.67	6.40	0.67	0.0000	0.0000	0.0000	0.0000	0.0000
YEL061C	CIN8	0.12	0.08	0.30	0.20	0.0018	0.0039	0.0014	0.0396	0.0097
YEL062W	NPR2	0.86	0.10	1.35	0.39	0.0079	0.0361	0.0090	0.1302	0.0272
YEL063C	CAN1	0.12	0.05	0.18	0.04	0.0001	0.0003	0.0002	0.0001	0.0001
YEL065W	SIT1	0.07	0.03	0.17	0.06	0.0000	0.0001	0.0001	0.0002	0.0002
YEL066W	HPA3	1.10	0.12	1.66	0.29	0.0058	0.1368	0.0284	0.0036	0.0013
YEL071W	DLD3	0.48	0.03	0.31	0.02	0.0000	0.0000	0.0000	0.0000	0.0000
YER001W	MNN1	0.81	0.05	0.67	0.03	0.0001	0.0013	0.0006	0.0001	0.0001
YER002W	NOP16	0.24	0.05	0.18	0.04	0.0000	0.0001	0.0001	0.0000	0.0000
YER003C	PMI40	1.14	0.08	1.24	0.09	0.0041	0.0158	0.0045	0.0026	0.0010
YER004W	FMP52	0.93	0.08	1.34	0.21	0.0003	0.1303	0.0272	0.0124	0.0036
YER005W	YND1	0.76	0.39	0.46	0.17	0.0295	0.1381	0.0287	0.0191	0.0052
YER006W	NUG1	0.41	0.02	0.35	0.03	0.0000	0.0000	0.0000	0.0000	0.0000
YER007C-A	TMA20	0.87	0.05	0.91	0.03	0.0047	0.0064	0.0021	0.0045	0.0016
YER008C	SEC3	0.98	0.06	1.00	0.11	0.6245	0.4492	0.0807	0.9744	0.1574
YER009W	NTF2	1.06	0.11	1.11	0.09	0.0368	0.3003	0.0568	0.0369	0.0091
YER010C	YER010C	1.39	0.14	2.12	0.17	0.0000	0.0020	0.0008	0.0000	0.0000
YER012W	PRE1	0.97	0.08	1.04	0.04	0.0666	0.4187	0.0760	0.0979	0.0212
YER014W	HEM14	1.35	0.18	1.63	0.31	0.0080	0.0073	0.0024	0.0062	0.0020
YER015W	FAA2	1.92	0.14	10.43	0.71	0.0000	0.0000	0.0000	0.0000	0.0000
YER016W	BIM1	0.94	0.18	0.94	0.16	0.4964	0.4329	0.0782	0.3467	0.0644
YER017C	AFG3	1.34	0.05	1.74	0.14	0.0001	0.0001	0.0001	0.0001	0.0001
YER018C	SPC25	0.64	0.07	0.96	0.08	0.0002	0.0006	0.0003	0.3383	0.0631
YER019C-A	SBH2	0.84	0.07	0.81	0.07	0.0077	0.0104	0.0032	0.0054	0.0018
YER019W	ISC1	0.85	0.14	0.98	0.12	0.0685	0.0682	0.0155	0.5822	0.1014
YER020W	GPA2	2.03	0.14	4.10	0.46	0.0000	0.0000	0.0000	0.0000	0.0000
YER021W	RPN3	0.81	0.06	0.85	0.06	0.0045	0.0036	0.0013	0.0076	0.0024
YER022W	SRB4	0.72	0.07	0.97	0.13	0.0020	0.0014	0.0006	0.5552	0.0973
YER023W	PRO3	1.03	0.07	1.01	0.07	0.6299	0.4307	0.0779	0.8533	0.1408
YER024W	YAT2	1.56	0.16	10.95	1.27	0.0000	0.0009	0.0004	0.0000	0.0000
YER025W	GCD11	0.70	0.02	0.62	0.03	0.0000	0.0000	0.0000	0.0000	0.0000
YER026C	CHO1	1.22	0.23	1.64	0.29	0.0070	0.0998	0.0215	0.0047	0.0016
YER027C	GAL83	0.74	0.23	1.06	0.27	0.1050	0.0770	0.0172	0.7843	0.1312
YER029C	SMB1	0.87	0.07	1.08	0.05	0.0000	0.0166	0.0046	0.0219	0.0059
YER030W	CHZ1	1.26	0.08	1.60	0.21	0.0004	0.0014	0.0006	0.0014	0.0006
YER031C	YPT31	1.05	0.23	0.98	0.11	0.7571	0.7810	0.1307	0.6638	0.1136
YER033C	ZRG8	1.39	0.18	1.99	0.16	0.0000	0.0052	0.0018	0.0000	0.0001
YER034W	YER034W	0.78	0.14	1.06	0.17	0.0384	0.0313	0.0079	0.5087	0.0902
YER036C	ARB1	0.59	0.05	0.51	0.02	0.0000	0.0001	0.0001	0.0000	0.0000
YER042W	MXR1	0.65	0.04	0.86	0.08	0.0001	0.0001	0.0001	0.0178	0.0049
YER043C	SAH1	0.89	0.07	0.81	0.07	0.0077	0.0291	0.0074	0.0048	0.0017
YER044C	ERG28	1.79	0.18	1.99	0.16	0.0001	0.0003	0.0002	0.0001	0.0001
YER046W	SPO73	2.33	0.44	2.38	0.29	0.0001	0.0008	0.0004	0.0001	0.0001
YER047C	SAP1	1.02	0.13	1.64	0.30	0.0003	0.8420	0.1392	0.0041	0.0015
YER048C	CAJ1	1.22	0.10	1.34	0.19	0.0058	0.0050	0.0017	0.0087	0.0027
YER048W-A	ISD11	1.08	0.05	1.33	0.17	0.0151	0.0323	0.0082	0.0092	0.0028
YER049W	TPA1	0.58	0.04	0.55	0.06	0.0000	0.0001	0.0001	0.0002	0.0001
YER050C	RSM18	0.95	0.25	1.43	0.33	0.0143	0.5593	0.0979	0.0327	0.0082
YER052C	HOM3	0.69	0.05	0.75	0.03	0.0001	0.0004	0.0002	0.0001	0.0001
YER053C	PIC2	4.83	1.87	7.51	3.17	0.0014	0.0017	0.0007	0.0010	0.0005
YER054C	GIP2	5.84	1.37	6.85	0.91	0.0000	0.0009	0.0005	0.0001	0.0001
YER055C	HIS1	0.77	0.05	0.63	0.04	0.0001	0.0011	0.0005	0.0001	0.0001
YER056C	FCY2	0.12	0.02	0.23	0.02	0.0000	0.0000	0.0000	0.0000	0.0000
YER056C-A	RPL34A	0.64	0.04	0.52	0.03	0.0000	0.0001	0.0001	0.0000	0.0000
YER057C	HMF1	1.58	0.28	2.08	0.38	0.0014	0.0048	0.0017	0.0009	0.0004
YER061C	CEM1	1.62	0.16	1.89	0.15	0.0001	0.0004	0.0003	0.0001	0.0001
YER062C	HOR2	2.97	0.20	1.43	0.12	0.0000	0.0000	0.0000	0.0008	0.0004
YER063W	THO1	1.16	0.22	1.46	0.17	0.0029	0.1623	0.0330	0.0017	0.0007
YER064C	YER064C	0.44	0.06	0.33	0.11	0.0002	0.0001	0.0001	0.0011	0.0005
YER065C	ICL1	0.80	0.21	4.76	0.68	0.0000	0.0762	0.0171	0.0000	0.0000
YER067W	RGI1	7.83	0.43	16.56	0.81	0.0000	0.0000	0.0000	0.0000	0.0000
YER068W	MOT2	0.77	0.08	0.94	0.16	0.0059	0.0055	0.0019	0.3989	0.0728
YER069W	ARG5,6	1.42	0.12	2.15	0.07	0.0000	0.0006	0.0003	0.0000	0.0000
YER070W	RNR1	0.19	0.01	0.14	0.01	0.0000	0.0000	0.0000	0.0000	0.0000
YER072W	VTC1	0.81	0.12	0.66	0.07	0.0008	0.0249	0.0065	0.0006	0.0003
YER073W	ALD5	0.64	0.04	0.55	0.05	0.0001	0.0001	0.0001	0.0001	0.0001
YER074W	RPS24A	0.64	0.10	0.52	0.04	0.0001	0.0027	0.0010	0.0001	0.0001
YER074W-A	YOS1	0.93	0.09	0.79	0.08	0.0109	0.1561	0.0319	0.0065	0.0021
YER080W	AIM9	1.15	0.09	1.32	0.07	0.0001	0.0243	0.0064	0.0004	0.0002
YER081W	SER3	3.17	0.18	2.50	0.30	0.0000	0.0000	0.0000	0.0001	0.0001
YER082C	UTP7	0.38	0.03	0.32	0.04	0.0000	0.0000	0.0000	0.0000	0.0000
YER083C	GET2	0.95	0.03	0.89	0.08	0.0140	0.0143	0.0041	0.0356	0.0089
YER086W	ILV1	1.03	0.07	1.19	0.09	0.0129	0.4546	0.0816	0.0075	0.0024
YER087W	AIM10	0.82	0.06	0.76	0.08	0.0023	0.0033	0.0012	0.0037	0.0013
YER088C	DOT6	0.19	0.11	0.25	0.10	0.0014	0.0026	0.0010	0.0012	0.0005
YER089C	PTC2	0.89	0.06	0.88	0.07	0.0012	0.0156	0.0044	0.0230	0.0061
YER090W	TRP2	0.90	0.05	0.78	0.07	0.0058	0.0163	0.0046	0.0034	0.0012
YER091C	MET6	1.09	0.08	0.92	0.07	0.0154	0.0738	0.0166	0.0614	0.0141
YER092W	IES5	0.94	0.18	1.56	0.61	0.0118	0.4740	0.0847	0.1061	0.0227
YER094C	PUP3	1.00	0.14	1.02	0.08	0.3569	0.8513	0.1405	0.5782	0.1008
YER095W	RAD51	0.49	0.03	0.61	0.03	0.0000	0.0000	0.0000	0.0000	0.0001
YER096W	SHC1	1.10	0.36	1.02	0.35	0.8732	0.8825	0.1449	0.8384	0.1388
YER098W	UBP9	2.64	0.36	7.20	1.54	0.0000	0.0001	0.0001	0.0000	0.0001
YER099C	PRS2	0.74	0.09	0.89	0.09	0.0099	0.0062	0.0020	0.0584	0.0135
YER100W	UBC6	0.36	0.07	0.30	0.04	0.0001	0.0003	0.0002	0.0001	0.0001
YER101C	AST2	1.60	0.41	1.81	0.39	0.0048	0.0157	0.0044	0.0034	0.0012
YER103W	SSA4	2.04	0.25	1.69	0.29	0.0003	0.0002	0.0002	0.0027	0.0010
YER105C	NUP157	0.76	0.03	0.77	0.05	0.0002	0.0002	0.0001	0.0009	0.0005
YER107C	GLE2	0.82	0.11	0.83	0.05	0.0015	0.0286	0.0073	0.0013	0.0006
YER110C	KAP123	0.66	0.03	0.59	0.02	0.0000	0.0000	0.0000	0.0000	0.0000
YER111C	SWI4	0.84	0.05	1.03	0.13	0.0024	0.0022	0.0009	0.7184	0.1216
YER114C	BOI2	0.74	0.05	1.04	0.06	0.0010	0.0006	0.0003	0.2111	0.0416
YER118C	SHO1	0.44	0.05	0.29	0.06	0.0001	0.0001	0.0001	0.0003	0.0002
YER119C	AVT6	1.41	0.13	1.52	0.22	0.0012	0.0012	0.0006	0.0027	0.0010
YER120W	SCS2	0.90	0.03	0.86	0.07	0.0004	0.0022	0.0009	0.0115	0.0034
YER122C	GLO3	0.63	0.13	0.87	0.14	0.0115	0.0068	0.0022	0.0963	0.0209
YER123W	YCK3	0.63	0.09	0.88	0.13	0.0012	0.0016	0.0007	0.0864	0.0190
YER125W	RSP5	1.12	0.07	1.05	0.04	0.0002	0.0144	0.0041	0.0519	0.0122
YER126C	NSA2	0.17	0.01	0.16	0.02	0.0000	0.0000	0.0000	0.0000	0.0000
YER127W	LCP5	0.40	0.02	0.32	0.04	0.0000	0.0000	0.0000	0.0000	0.0000
YER129W	SAK1	0.73	0.09	0.93	0.14	0.0008	0.0032	0.0012	0.2944	0.0558
YER131W	RPS26B	7.39	9.94	7.26	15.07	0.7447	0.6408	0.1102	0.9788	0.1580
YER132C	PMD1	0.44	0.14	1.12	0.43	0.0055	0.0063	0.0021	0.7021	0.1194
YER133W	GLC7	1.11	0.04	1.29	0.10	0.0006	0.0035	0.0013	0.0018	0.0008
YER134C	YER134C	1.16	0.04	1.30	0.06	0.0005	0.0007	0.0004	0.0003	0.0002
YER136W	GDI1	1.43	0.18	1.68	0.14	0.0003	0.0032	0.0012	0.0002	0.0001
YER139C	RTR1	1.33	0.44	1.60	0.35	0.0160	0.2468	0.0478	0.0094	0.0029
YER141W	COX15	2.79	0.11	4.18	0.47	0.0000	0.0000	0.0000	0.0000	0.0000
YER143W	DDI1	1.05	0.08	1.31	0.08	0.0006	0.2982	0.0564	0.0006	0.0003
YER145C	FTR1	0.30	0.11	0.29	0.07	0.0001	0.0010	0.0005	0.0002	0.0001
YER146W	LSM5	0.96	0.12	1.06	0.06	0.0060	0.4449	0.0801	0.0947	0.0206
YER147C	SCC4	0.56	0.10	0.84	0.16	0.0023	0.0014	0.0006	0.0927	0.0202
YER148W	SPT15	0.67	0.07	0.81	0.09	0.0019	0.0012	0.0006	0.0114	0.0034
YER149C	PEA2	0.66	0.09	0.72	0.09	0.0023	0.0023	0.0009	0.0037	0.0014
YER151C	UBP3	0.78	0.05	0.78	0.04	0.0003	0.0009	0.0005	0.0005	0.0003
YER152C	YER152C	1.20	0.16	1.52	0.25	0.0069	0.0429	0.0104	0.0043	0.0015
YER154W	OXA1	1.34	0.18	1.91	0.21	0.0003	0.0092	0.0028	0.0002	0.0001
YER155C	BEM2	0.78	0.08	0.77	0.05	0.0006	0.0043	0.0015	0.0005	0.0003
YER156C	YER156C	0.73	0.07	0.69	0.06	0.0003	0.0011	0.0005	0.0005	0.0003
YER157W	COG3	0.99	0.06	0.95	0.03	0.0017	0.7711	0.1293	0.0278	0.0072
YER161C	SPT2	0.90	0.11	0.89	0.14	0.1285	0.1231	0.0259	0.1446	0.0298
YER162C	RAD4	0.94	0.12	1.29	0.30	0.0191	0.3582	0.0662	0.1020	0.0220
YER163C	YER163C	0.27	0.05	0.21	0.05	0.0002	0.0001	0.0001	0.0001	0.0001
