Gene	Feature	Mean_FC_12_6	SD_12_6	Mean_FC_20_6	SD_20_6	anova_f_value	p_value_12_6	q_value_12_6	p_value_20_6	q_value_20_6
YOR108W	LEU9	0.62	0.05	0.54	0.03	0.0000	0.0002	0.0001	0.0000	0.0000
YOR109W	INP53	1.05	0.09	1.06	0.05	0.1209	0.3744	0.0689	0.0734	0.0165
YOR110W	TFC7	0.99	0.10	1.11	0.18	0.1614	0.7306	0.1234	0.3124	0.0588
YOR111W	YOR111W	1.31	0.10	1.80	0.26	0.0015	0.0015	0.0007	0.0009	0.0004
YOR112W	CEX1	1.41	0.07	1.43	0.14	0.0003	0.0001	0.0001	0.0015	0.0007
YOR113W	AZF1	1.73	0.47	2.44	0.36	0.0001	0.0143	0.0041	0.0002	0.0001
YOR116C	RPO31	0.52	0.03	0.43	0.03	0.0000	0.0000	0.0000	0.0000	0.0000
YOR117W	RPT5	1.02	0.06	1.01	0.07	0.6777	0.4596	0.0824	0.8057	0.1342
YOR118W	RTC5	1.13	0.14	1.36	0.17	0.0099	0.1088	0.0232	0.0058	0.0019
YOR119C	RIO1	0.39	0.04	0.39	0.05	0.0000	0.0000	0.0000	0.0001	0.0001
YOR120W	GCY1	3.00	0.35	4.06	0.27	0.0000	0.0000	0.0001	0.0000	0.0000
YOR122C	PFY1	1.32	0.05	1.55	0.09	0.0001	0.0001	0.0001	0.0001	0.0001
YOR123C	LEO1	0.80	0.05	0.92	0.09	0.0020	0.0013	0.0006	0.0997	0.0215
YOR124C	UBP2	1.23	0.04	1.19	0.07	0.0003	0.0002	0.0001	0.0031	0.0012
YOR125C	CAT5	2.13	0.19	1.92	0.11	0.0000	0.0000	0.0001	0.0000	0.0000
YOR126C	IAH1	0.79	0.28	1.07	0.21	0.0326	0.1172	0.0248	0.5598	0.0980
YOR127W	RGA1	0.75	0.06	0.86	0.15	0.0021	0.0017	0.0007	0.0864	0.0190
YOR128C	ADE2	2.50	0.10	2.16	0.18	0.0000	0.0000	0.0000	0.0000	0.0000
YOR131C	YOR131C	1.30	0.06	1.65	0.07	0.0000	0.0002	0.0002	0.0000	0.0000
YOR132W	VPS17	1.08	0.10	1.21	0.15	0.0227	0.1635	0.0332	0.0320	0.0081
YOR136W	IDH2	1.68	0.13	3.72	0.37	0.0000	0.0001	0.0001	0.0000	0.0000
YOR137C	SIA1	0.94	0.02	0.70	0.10	0.0014	0.0048	0.0016	0.0041	0.0014
YOR138C	RUP1	1.08	0.09	1.76	0.16	0.0003	0.1070	0.0229	0.0002	0.0001
YOR140W	SFL1	0.62	0.21	1.07	0.36	0.0174	0.0222	0.0059	0.9750	0.1575
YOR141C	ARP8	0.85	0.08	0.99	0.11	0.0191	0.0175	0.0048	0.8241	0.1368
YOR142W	LSC1	1.55	0.12	2.65	0.18	0.0000	0.0002	0.0001	0.0000	0.0000
YOR143C	THI80	1.67	0.12	1.61	0.08	0.0000	0.0001	0.0001	0.0000	0.0000
YOR144C	ELG1	0.48	0.04	0.54	0.05	0.0000	0.0000	0.0001	0.0001	0.0001
YOR145C	PNO1	0.17	0.05	0.16	0.05	0.0002	0.0001	0.0001	0.0002	0.0001
YOR148C	SPP2	0.89	0.15	1.34	0.23	0.0055	0.2143	0.0422	0.0250	0.0065
YOR150W	MRPL23	1.21	0.28	1.94	0.48	0.0034	0.1891	0.0378	0.0042	0.0015
YOR151C	RPB2	0.89	0.05	0.84	0.09	0.0085	0.0081	0.0025	0.0163	0.0046
YOR152C	YOR152C	5.39	0.65	7.77	8.760.0326	0.0082	0.3904	0.0715
YOR153W	PDR5	0.50	0.04	0.25	0.02	0.0000	0.0000	0.0000	0.0000	0.0000
YOR155C	ISN1	1.58	0.17	1.73	0.17	0.0003	0.0007	0.0004	0.0002	0.0002
YOR157C	PUP1	0.84	0.10	0.88	0.08	0.0079	0.0269	0.0069	0.0284	0.0073
YOR158W	PET123	1.39	0.21	2.30	0.39	0.0003	0.0080	0.0025	0.0003	0.0002
YOR160W	MTR10	0.89	0.04	1.01	0.13	0.0026	0.0041	0.0015	0.9894	0.1595
YOR162C	YRR1	1.22	0.13	1.81	0.23	0.0009	0.0176	0.0049	0.0006	0.0003
YOR163W	DDP1	1.27	0.18	1.27	0.05	0.0002	0.0185	0.0051	0.0002	0.0002
YOR164C	GET4	1.14	0.15	1.11	0.08	0.0628	0.0966	0.0209	0.0365	0.0090
YOR165W	SEY1	1.00	0.06	1.02	0.12	0.9371	0.9472	0.1538	0.7952	0.1327
YOR168W	GLN4	0.78	0.05	0.66	0.05	0.0001	0.0010	0.0005	0.0002	0.0001
YOR171C	LCB4	0.60	0.10	0.58	0.09	0.0014	0.0019	0.0008	0.0014	0.0006
YOR173W	DCS2	2.61	0.41	3.80	0.64	0.0001	0.0002	0.0001	0.0001	0.0001
YOR174W	MED4	0.92	0.13	0.91	0.13	0.2354	0.1975	0.0393	0.1937	0.0386
YOR175C	ALE1	0.85	0.08	0.79	0.12	0.0125	0.0123	0.0036	0.0190	0.0052
YOR176W	HEM15	1.78	0.32	2.03	0.18	0.0001	0.0017	0.0007	0.0001	0.0001
YOR178C	GAC1	4.32	1.27	18.81	1.070.0924	0.0202	0.0087	0.0027
YOR179C	SYC1	0.74	0.38	0.67	0.29	0.1351	0.1267	0.0266	0.0795	0.0177
YOR180C	DCI1	12.7567.63---
YOR181W	LAS17	1.15	0.09	1.37	0.21	0.0112	0.0233	0.0062	0.0079	0.0025
YOR184W	SER1	1.24	0.12	1.24	0.13	0.0106	0.0082	0.0026	0.0107	0.0032
YOR185C	GSP2	4.46	0.29	6.68	0.58	0.0000	0.0000	0.0000	0.0000	0.0000
YOR187W	TUF1	1.46	0.10	2.26	0.21	0.0001	0.0002	0.0002	0.0000	0.0001
YOR188W	MSB1	0.39	0.04	0.36	0.05	0.0000	0.0000	0.0000	0.0000	0.0001
YOR189W	IES4	0.76	0.13	0.98	0.16	0.0230	0.0217	0.0058	0.6735	0.1150
YOR191W	ULS1	1.64	0.34	1.45	0.38	0.0015	0.0051	0.0017	0.0346	0.0087
YOR195W	SLK19	0.71	0.07	0.89	0.17	0.0010	0.0015	0.0007	0.2057	0.0407
YOR196C	LIP5	0.90	0.04	1.14	0.13	0.0008	0.0043	0.0015	0.0740	0.0166
YOR197W	MCA1	1.15	0.15	1.20	0.12	0.0245	0.0957	0.0208	0.0172	0.0048
YOR198C	BFR1	1.10	0.05	0.92	0.11	0.0086	0.0098	0.0030	0.1574	0.0321
YOR201C	MRM1	1.03	0.14	1.19	0.28	0.3500	0.6776	0.1156	0.2114	0.0417
YOR204W	DED1	0.60	0.05	0.41	0.02	0.0000	0.0002	0.0001	0.0000	0.0000
YOR206W	NOC2	0.47	0.03	0.48	0.03	0.0000	0.0000	0.0000	0.0000	0.0000
YOR207C	RET1	0.43	0.01	0.42	0.01	0.0000	0.0000	0.0000	0.0000	0.0000
YOR209C	NPT1	1.53	0.07	1.48	0.10	0.0001	0.0000	0.0000	0.0002	0.0002
YOR210W	RPB10	0.65	0.05	0.69	0.07	0.0003	0.0002	0.0001	0.0011	0.0005
YOR211C	MGM1	1.08	0.07	2.01	0.29	0.0006	0.0626	0.0143	0.0005	0.0003
YOR212W	STE4	0.53	0.03	0.42	0.04	0.0000	0.0000	0.0000	0.0000	0.0000
YOR215C	AIM41	4.67	0.65	9.84	1.40	0.0000	0.0000	0.0000	0.0000	0.0000
YOR216C	RUD3	1.03	0.05	0.99	0.13	0.1538	0.2186	0.0429	0.8201	0.1362
YOR217W	RFC1	0.97	0.14	1.03	0.10	0.3772	0.5679	0.0992	0.5297	0.0934
YOR219C	STE13	2.06	0.31	1.73	0.27	0.0005	0.0006	0.0003	0.0016	0.0007
YOR220W	RCN2	3.79	0.51	3.44	0.54	0.0000	0.0000	0.0000	0.0001	0.0001
YOR221C	MCT1	1.06	0.16	1.22	0.13	0.0201	0.4775	0.0853	0.0120	0.0035
YOR222W	ODC2	0.60	0.06	0.93	0.05	0.0007	0.0005	0.0003	0.0330	0.0083
