!Series_title	"Differential yeast gene transcription during brewery propagation"
!Series_geo_accession	"GSE16376"
!Series_sample_id	"GSM410831 GSM410832 GSM410833 GSM410834 GSM410835 GSM410836 GSM410837 GSM410838 GSM410839 GSM410840 GSM410841 GSM410842"
!Series_platform_id	"GPL2529"
!Series_platform_taxid	"4896"
!Series_platform_taxid	"4932"
!Series_sample_taxid	"27292"
!Sample_title	"Prop_0h_A"	"Prop_0h_B"	"Prop_0h_C"	"Prop_4h_A"	"Prop_4h_B"	"Prop_4h_C"	"Prop_8h_A"	"Prop_8h_B"	"Prop_8h_C"	"Prop_30h_A"	"Prop_30h_B"	"Prop_30h_C"
!Sample_geo_accession	"GSM410831"	"GSM410832"	"GSM410833"	"GSM410834"	"GSM410835"	"GSM410836"	"GSM410837"	"GSM410838"	"GSM410839"	"GSM410840"	"GSM410841"	"GSM410842"
!Sample_type	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"
!Sample_channel_count	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"
!Sample_description	"Prop_0h_A"	"Prop_0h_B"	"Prop_0h_C"	"Prop_4h_A"	"Prop_4h_B"	"Prop_4h_C"	"Prop_8h_A"	"Prop_8h_B"	"Prop_8h_C"	"Prop_30h_A"	"Prop_30h_B"	"Prop_30h_C"
!Sample_platform_id	"GPL2529"	"GPL2529"	"GPL2529"	"GPL2529"	"GPL2529"	"GPL2529"	"GPL2529"	"GPL2529"	"GPL2529"	"GPL2529"	"GPL2529"	"GPL2529"
!Sample_data_row_count	"10928"	"10928"	"10928"	"10928"	"10928"	"10928"	"10928"	"10928"	"10928"	"10928"	"10928"	"10928"
!series_matrix_table_begin
"ID_REF"	"GSM410831"	"GSM410832"	"GSM410833"	"GSM410834"	"GSM410835"	"GSM410836"	"GSM410837"	"GSM410838"	"GSM410839"	"GSM410840"	"GSM410841"	"GSM410842"
"1769358_at"	25.9831	162.173	214.425	94.49	86.6009	99.9234	15.5708	14.7889	17.1118	14.474	19.9717	32.2881
"1769359_at"	40.7339	122.449	130.198	73.2259	77.2117	65.0702	58.0079	50.7052	24.7732	60.5877	88.6723	96.268
"1769360_at"	2.68546	1.50326	1.97837	0.223619	0.370754	0.144415	0.364235	0.798643	0.248914	0.4526	1.21873	0.942449
"1769361_at"	129.978	133.921	362.742	74.0438	72.3818	69.9778	91.2141	105.79	55.8315	75.5371	173.926	146.63
"1769362_at"	937.776	1208.89	1665.23	875.06	822.336	743.548	224.068	201.367	116.402	351.886	322.378	324.838
"1769363_at"	4.65387	6.43443	10.4846	4.81398	3.23394	0.41108	8.96706	2.16706	9.37217	1.58425	0.514192	1.29138
"1769364_at"	8.0991	6.23737	1.02237	1.07306	2.64528	0.102276	8.57407	5.56784	1.95067	1.03682	4.5509	6.98557
"1769365_at"	1224.31	1810.47	2999.07	1434.14	1331.09	1276.56	51.9724	52.1474	24.0046	55.7855	54.1412	73.823
"1769366_at"	22.682	86.9035	106.861	16.4839	15.1519	14.1587	26.7697	50.8048	12.8775	25.3706	61.976	46.2702
"1769367_at"	4.68905	9.77514	3.31941	1.58153	0.293732	0.167292	0.796362	0.924881	1.17787	0.555553	0.916574	0.61799
"1769368_at"	170.367	143.431	444.581	162.806	176.68	170.027	119.733	99.9125	72.9118	83.9376	149.066	139.759
"1769369_at"	5.92129	9.42746	7.86102	0.485819	1.63126	0.724201	2.1312	12.975	0.245247	5.04377	0.405725	9.55655
"1769370_at"	4.70603	6.98073	6.92147	1.61852	0.484459	1.35915	0.821777	3.31589	8.54088	0.332281	0.440343	3.19962
"1769371_at"	757.469	816.747	1311.05	316.187	317.855	290.723	25.2187	26.7816	8.16027	23.6873	47.9212	35.4359
"1769372_at"	13.0476	8.091	6.4045	1.36855	1.08845	0.114536	0.785042	1.50978	3.35947	1.30061	0.592443	7.4016
"1769373_at"	115.217	224.554	435.016	39.6777	35.1089	39.0805	46.0165	28.694	16.1091	23.0515	42.145	23.0217
"1769374_at"	87.6071	120.198	228.66	49.0476	48.9756	44.5248	59.0263	73.8417	48.2168	73.5076	144.695	121.797
